Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
3.323323e-01,2.171762e-07,2.484034e-01,1.499623e-07,2.782382e-01,6.213515e+01,2.782382e-01,1.499623e-07,2.484034e-01,2.171762e-07,2.794855e-08,9.895920e-03,7.072367e-07,2.933883e-03,1.201314e-24,2.933883e-03,7.072367e-07,9.895920e-03,2.794855e-08,
3.328328e-01,2.171720e-07,2.475581e-01,1.498121e-07,2.779289e-01,6.213515e+01,2.779289e-01,1.498121e-07,2.475581e-01,2.171720e-07,2.803605e-08,9.892906e-03,7.093922e-07,2.939476e-03,1.201314e-24,2.939476e-03,7.093922e-07,9.892906e-03,2.803605e-08,
3.333333e-01,2.171679e-07,2.467147e-01,1.496620e-07,2.776196e-01,6.213515e+01,2.776196e-01,1.496620e-07,2.467147e-01,2.171679e-07,2.812370e-08,9.889812e-03,7.115511e-07,2.945063e-03,1.201314e-24,2.945063e-03,7.115511e-07,9.889812e-03,2.812370e-08,
3.338338e-01,2.171637e-07,2.458732e-01,1.495120e-07,2.773102e-01,6.213515e+01,2.773102e-01,1.495120e-07,2.458732e-01,2.171637e-07,2.821151e-08,9.886638e-03,7.137134e-07,2.950642e-03,1.201314e-24,2.950642e-03,7.137134e-07,9.886638e-03,2.821151e-08,
3.343343e-01,2.171595e-07,2.450338e-01,1.493622e-07,2.770008e-01,6.213515e+01,2.770008e-01,1.493622e-07,2.450338e-01,2.171595e-07,2.829947e-08,9.883386e-03,7.158791e-07,2.956215e-03,1.201314e-24,2.956215e-03,7.158791e-07,9.883386e-03,2.829947e-08,
3.348348e-01,2.171554e-07,2.441962e-01,1.492126e-07,2.766913e-01,6.213515e+01,2.766913e-01,1.492126e-07,2.441962e-01,2.171554e-07,2.838758e-08,9.880055e-03,7.180482e-07,2.961782e-03,1.201314e-24,2.961782e-03,7.180482e-07,9.880055e-03,2.838758e-08,
3.353353e-01,2.171513e-07,2.433607e-01,1.490631e-07,2.763819e-01,6.213515e+01,2.763819e-01,1.490631e-07,2.433607e-01,2.171513e-07,2.847584e-08,9.876646e-03,7.202207e-07,2.967341e-03,1.201314e-24,2.967341e-03,7.202207e-07,9.876646e-03,2.847584e-08,
3.358358e-01,2.171472e-07,2.425271e-01,1.489137e-07,2.760723e-01,6.213515e+01,2.760723e-01,1.489137e-07,2.425271e-01,2.171472e-07,2.856425e-08,9.873160e-03,7.223966e-07,2.972893e-03,1.201314e-24,2.972893e-03,7.223966e-07,9.873160e-03,2.856425e-08,
3.363363e-01,2.171431e-07,2.416955e-01,1.487645e-07,2.757628e-01,6.213515e+01,2.757628e-01,1.487645e-07,2.416955e-01,2.171431e-07,2.865282e-08,9.869597e-03,7.245758e-07,2.978439e-03,1.201314e-24,2.978439e-03,7.245758e-07,9.869597e-03,2.865282e-08,
3.368368e-01,2.171390e-07,2.408658e-01,1.486154e-07,2.754532e-01,6.213515e+01,2.754532e-01,1.486154e-07,2.408658e-01,2.171390e-07,2.874154e-08,9.865957e-03,7.267585e-07,2.983978e-03,1.201314e-24,2.983978e-03,7.267585e-07,9.865957e-03,2.874154e-08,
3.373373e-01,2.171349e-07,2.400382e-01,1.484666e-07,2.751436e-01,6.213515e+01,2.751436e-01,1.484666e-07,2.400382e-01,2.171349e-07,2.883041e-08,9.862241e-03,7.289445e-07,2.989509e-03,1.201314e-24,2.989509e-03,7.289445e-07,9.862241e-03,2.883041e-08,
3.378378e-01,2.171309e-07,2.392126e-01,1.483178e-07,2.748340e-01,6.213515e+01,2.748340e-01,1.483178e-07,2.392126e-01,2.171309e-07,2.891944e-08,9.858450e-03,7.311339e-07,2.995034e-03,1.201314e-24,2.995034e-03,7.311339e-07,9.858450e-03,2.891944e-08,
