PRM transmissivity,Reflected power,
7.197197e-01,2.551643e+00,
7.207207e-01,2.552661e+00,
7.217217e-01,2.553677e+00,
7.227227e-01,2.554691e+00,
7.237237e-01,2.555703e+00,
7.247247e-01,2.556714e+00,
7.257257e-01,2.557722e+00,
7.267267e-01,2.558729e+00,
7.277277e-01,2.559734e+00,
7.287287e-01,2.560737e+00,
7.297297e-01,2.561739e+00,
7.307307e-01,2.562739e+00,
7.317317e-01,2.563736e+00,
7.327327e-01,2.564733e+00,
7.337337e-01,2.565727e+00,
7.347347e-01,2.566720e+00,
7.357357e-01,2.567711e+00,
7.367367e-01,2.568700e+00,
7.377377e-01,2.569687e+00,
7.387387e-01,2.570673e+00,
7.397397e-01,2.571657e+00,
7.407407e-01,2.572640e+00,
7.417417e-01,2.573620e+00,
7.427427e-01,2.574600e+00,
7.437437e-01,2.575577e+00,
7.447447e-01,2.576553e+00,
7.457457e-01,2.577527e+00,
7.467467e-01,2.578500e+00,
7.477477e-01,2.579471e+00,
7.487487e-01,2.580440e+00,
7.497497e-01,2.581408e+00,
7.507508e-01,2.582374e+00,
7.517518e-01,2.583339e+00,
7.527528e-01,2.584302e+00,
7.537538e-01,2.585263e+00,
7.547548e-01,2.586223e+00,
7.557558e-01,2.587182e+00,
7.567568e-01,2.588138e+00,
7.577578e-01,2.589094e+00,
7.587588e-01,2.590048e+00,
7.597598e-01,2.591000e+00,
7.607608e-01,2.591951e+00,
7.617618e-01,2.592900e+00,
7.627628e-01,2.593848e+00,
7.637638e-01,2.594795e+00,
7.647648e-01,2.595740e+00,
7.657658e-01,2.596684e+00,
7.667668e-01,2.597626e+00,
7.677678e-01,2.598567e+00,
7.687688e-01,2.599506e+00,
7.697698e-01,2.600444e+00,
7.707708e-01,2.601381e+00,
7.717718e-01,2.602316e+00,
7.727728e-01,2.603250e+00,
7.737738e-01,2.604182e+00,
7.747748e-01,2.605113e+00,
7.757758e-01,2.606043e+00,
7.767768e-01,2.606971e+00,
7.777778e-01,2.607899e+00,
7.787788e-01,2.608824e+00,
7.797798e-01,2.609749e+00,
7.807808e-01,2.610672e+00,
7.817818e-01,2.611594e+00,
7.827828e-01,2.612515e+00,
7.837838e-01,2.613434e+00,
7.847848e-01,2.614352e+00,
7.857858e-01,2.615269e+00,
7.867868e-01,2.616185e+00,
7.877878e-01,2.617099e+00,
7.887888e-01,2.618013e+00,
7.897898e-01,2.618925e+00,
7.907908e-01,2.619836e+00,
7.917918e-01,2.620745e+00,
7.927928e-01,2.621654e+00,
7.937938e-01,2.622561e+00,
7.947948e-01,2.623467e+00,
7.957958e-01,2.624372e+00,
7.967968e-01,2.625276e+00,
