"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
2.5830772 3.9304781E-023 9.9510757E-020 3.9304778E-023
2.5910223 3.8839445E-023 9.6321712E-020 3.8839442E-023
2.598992 3.8379833E-023 9.3265436E-020 3.837983E-023
2.6069861 3.7925863E-023 9.0335237E-020 3.7925859E-023
2.6150048 3.7477489E-023 8.7524689E-020 3.7477485E-023
2.6230482 3.7034625E-023 8.482785E-020 3.7034622E-023
2.6311163 3.6597194E-023 8.2239264E-020 3.659719E-023
2.6392092 3.616515E-023 7.9753759E-020 3.6165146E-023
2.6473271 3.5738412E-023 7.7366234E-020 3.5738408E-023
2.6554699 3.5316904E-023 7.5071915E-020 3.53169E-023
2.6636377 3.4900584E-023 7.2866581E-020 3.490058E-023
2.6718307 3.4489371E-023 7.0746219E-020 3.4489367E-023
2.6800489 3.4083194E-023 6.8706769E-020 3.408319E-023
2.6882923 3.3682011E-023 6.6744303E-020 3.3682007E-023
2.6965611 3.3285747E-023 6.4855542E-020 3.3285743E-023
2.7048554 3.2894331E-023 6.3037365E-020 3.2894326E-023
2.7131751 3.2507723E-023 6.1286536E-020 3.2507719E-023
2.7215205 3.2125851E-023 5.959975E-020 3.2125847E-023
2.7298915 3.1748647E-023 5.7974449E-020 3.1748643E-023
2.7382882 3.1376073E-023 5.6408202E-020 3.1376068E-023
2.7467108 3.1008059E-023 5.489843E-020 3.1008054E-023
2.7551593 3.064454E-023 5.34423E-020 3.0644535E-023
2.7636338 3.0285478E-023 5.20378E-020 3.0285473E-023
2.7721343 2.9930807E-023 5.0683039E-020 2.9930802E-023
2.780661 2.9580464E-023 4.9375973E-020 2.9580459E-023
2.7892139 2.9234414E-023 4.8114123E-020 2.9234408E-023
2.7977932 2.8892591E-023 4.6895897E-020 2.8892586E-023
2.8063988 2.8554936E-023 4.571983E-020 2.855493E-023
2.8150309 2.8221413E-023 4.4584311E-020 2.8221407E-023
2.8236895 2.7891962E-023 4.3487143E-020 2.7891956E-023
2.8323748 2.7566523E-023 4.2427047E-020 2.7566517E-023
2.8410868 2.7245064E-023 4.1402899E-020 2.7245058E-023
2.8498255 2.6927525E-023 4.0413446E-020 2.6927519E-023
2.8585912 2.661385E-023 3.9456713E-020 2.6613844E-023
2.8673838 2.6304007E-023 3.8531657E-020 2.6304001E-023
2.8762035 2.5997939E-023 3.7637428E-020 2.5997933E-023
2.8850503 2.5695592E-023 3.6773071E-020 2.5695586E-023
2.8939243 2.5396935E-023 3.5936794E-020 2.5396929E-023
2.9028256 2.5101913E-023 3.5127725E-020 2.5101907E-023
